CITY,Average change in the number of destinations reachable (%),Rank
SLOUGH & HEATHROW,-17.6,1
LONDON,-20.9,2
GLASGOW,-21.9,3
SOUTHEND,-26.8,4
LUTON,-28.5,5
EDINBURGH,-32,6
CRAWLEY,-35.9,7
NEWCASTLE,-36.9,8
GUILDFORD & ALDERSHOT,-40.4,9
LIVERPOOL,-44.2,10
WARRINGTON & WIGAN,-45,11
MEDWAY,-48.2,12
CAMBRIDGE,-48.5,13
MANCHESTER,-48.5,14
WOLVERHAMPTON & WALSALL,-49.1,15
BIRMINGHAM,-52.1,16
LEEDS,-53.6,17
BRISTOL,-59.9,18
SHEFFIELD,-60,19
NOTTINGHAM,-61.6,20
SOUTHAMPTON,-63.5,21
CARDIFF,-66.3,22
COVENTRY,-66.8,23
LEICESTER,-67,24
