,Unnamed: 0,POSTCODE,SCHOOL_TYPE,SCHOOLNAME,WEBSITE,LATITUDE,LONGITUDE,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,normalized_postcode
0,0,KA13 7HG,Primary school,Abbey Primary School,https://blogs.glowscotland.org.uk/na/abbeyprimaryschool/,55.656374,-4.706148,,,,,,,,KA137HG
1,1,EH7 5SJ,Primary school,Abbeyhill Primary School,http://www.abbeyhill.edin.sch.uk/,55.956455,-3.169583,,,,,,,,EH75SJ
2,2,AB12 5QX,Primary school,Abbotswell School,http://www.abbotswell.aberdeen.sch.uk/,57.122118,-2.110807,,,,,,,,AB125QX
3,3,AB54 7TW,Primary school,Aberchirder School,http://www.aberchirder.aberdeenshire.sch.uk/,57.56292,-2.627106,,,,,,,,AB547TW
4,4,G4 9QH,Primary school,Abercorn Secondary School,http://www.abercorn-sec.glasgow.sch.uk/,55.871469,-4.261538,,,,,,,,G49QH
5,5,FK10 2SD,Primary school,Abercromby Primary School,https://blogs.glowscotland.org.uk/cl/abercrombyprimaryandnursery/,56.132598,-3.841288,,,,,,,,FK102SD
6,6,AB10 1HT,Highschool,Aberdeen Grammar School,http://www.grammar.org.uk,57.146924,-2.115954,24,16,36,22,33,25,16,AB101HT
7,7,AB24 3NJ,Primary school,Aberdeen School for the Deaf,,57.159797,-2.104835,,,,,,,,AB243NJ
8,8,KY3 0UP,Primary school,Aberdour Primary School,http://www.fifedirect.org.uk/aberdourps,56.055931,-3.29476,,,,,,,,KY30UP
9,9,FK8 3SZ,Primary school,Aberfoyle Primary School,http://www.aberfoyleparents.org.uk/,56.180573,-4.393309,,,,,,,,FK83SZ
10,10,KY8 3AD,Primary school,Aberhill Primary School,http://www.fife.gov.uk/atoz/index.cfm?fuseaction=facility.display&ORGID=60304273-A856-11D6-BF4D0002A5349AC9&facid=C35EFFDA-A152-44C9-84F09F714F89D4F2,56.187852,-3.011636,,,,,,,,KY83AD
11,11,EH32 0RQ,Primary school,Aberlady Primary School,http://edubuzz.org/aberlady/,56.007352,-2.86431,,,,,,,,EH320RQ
12,12,DD8 3PE,Primary school,Aberlemno Primary School,http://www.aberlemno.angus.sch.uk/,56.692032,-2.782763,,,,,,,,DD83PE
13,13,AB38 9PN,Primary school,Aberlour Primary School,https://twitter.com/aberlourps?lang=en,57.469234,-3.225587,,,,,,,,AB389PN
14,14,PH25 3ED,Primary school,Abernethy Primary School,http://abernethyprimary.org.uk,57.27077,-3.644176,,,,,,,,PH253ED
15,15,PH2 9LA,Primary school,Abernethy Primary School,http://abernethyprimaryschool.schoolwebsite.scot/,56.334203,-3.308278,,,,,,,,PH29LA
16,16,PH14 9ST,Primary school,Abernyte Primary School,http://www.abernyteprimary.co.uk/,56.466279,-3.204648,,,,,,,,PH149ST
17,17,PH3 1HE,Primary school,Aberuthven Primary School,https://blogs.glowscotland.org.uk/pk/aberuthvenprimaryschool/,56.320085,-3.652102,,,,,,,,PH31HE
18,18,ML12 6SD,Primary school,Abington Primary School,http://www.abington-pri.s-lanark.sch.uk/,55.495003,-3.693299,,,,,,,,ML126SD
19,19,AB34 5JN,Highschool,Aboyne Academy,http://aboyneacademy.aberdeenshire.sch.uk,57.075419,-2.795361,110,57,49,37,96,84,92,AB345JN
20,20,AB34 5JN,Primary school,Aboyne Primary School,https://aboyne-pri.aberdeenshire.sch.uk,57.074419,-2.795396,,,,,,,,AB345JN
21,21,G67 3AJ,Primary school,Abronhill Primary School,http://www.abronhill-pri.n-lanark.sch.uk/,55.952907,-3.961501,,,,,,,,G673AJ
22,22,PA31 8NZ,Primary school,Achahoish Primary School,http://www.achahoish.argyll-bute.sch.uk,55.920188,-5.584567,,,,,,,,PA318NZ
23,23,PH36 4JU,Primary school,Acharacle Primary School,https://acharaclenews.wordpress.com/,56.746473,-5.804634,,,,,,,,PH364JU
24,24,IV26 2YG,Primary school,Achiltibuie Primary School,http://achiltibuieprimary.wordpress.com,58.014919,-5.337482,,,,,,,,IV262YG
25,25,EH55 8PG,Primary school,Addiewell Primary School,http://www.addiewellprimary.westlothian.org.uk/,55.844742,-3.617906,,,,,,,,EH558PG
26,26,PA16 0JG,Primary school,Aileymill Primary School,http://aileymillprimary.inverclyde.sch.uk/,55.940768,-4.81565,,,,,,,,PA160JG
27,27,ML6 6NX,Highschool,Airdrie Academy,https://blogs.glowscotland.org.uk/nl/airdrieacademy/,55.875543,-3.981589,236,250,147,237,138,169,286,ML66NX
28,28,DD8 5NP,Primary school,Airlie Primary School,http://www.airlieprimaryschool.org/,56.638172,-3.118061,,,,,,,,DD85NP
29,29,FK2 8JX,Primary school,Airth Primary School,http://www.airth.falkirk.sch.uk,56.06869,-3.768317,,,,,,,,FK28JX
30,30,AB15 8AD,Primary school,Airyhall School,http://www.airyhall.aberdeen.sch.uk/,57.13212,-2.150731,,,,,,,,AB158AD
31,31,ZE2 9NB,Highschool,Aith Junior High School,http://www.aith.shetland.sch.uk/,60.283789,-1.377676,344,342,338,341,341,340,335,ZE29NB
32,32,ZE2 9NB,Highschool,Aith Junior High School,http://www.aith.shetland.sch.uk/,60.283789,-1.377676,344,342,338,341,341,340,335,ZE29NB
33,33,G82 3DR,Primary school,Aitkenbar Primary School,http://www.scottishschools.info/aitkenbar/,55.957709,-4.549669,,,,,,,,G823DR
34,34,G71 5QZ,Primary school,Aitkenhead Primary School,https://blogs.glowscotland.org.uk/nl/aitkenheadprimaryschoolblog/,55.83486,-4.080554,,,,,,,,G715QZ
35,35,IV2 6DP,Primary school,Aldourie Primary School,http://aldourieprimaryschool.com/,57.396143,-4.32001,,,,,,,,IV26DP
36,36,AB51 5FW,Primary school,Alehousewells School,http://www.alehousewells.aberdeenshire.sch.uk/,57.239606,-2.452044,,,,,,,,AB515FW
37,37,ML7 5TU,Primary school,Alexander Peden Primary,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5747,55.858724,-3.757181,,,,,,,,ML75TU
38,38,G31 2TL,Primary school,Alexandra Parade Primary School,http://www.alexandraparade-pri.glasgow.sch.uk,55.863063,-4.215774,,,,,,,,G312TL
39,39,AB33 8TY,Highschool,Alford Academy,http://www.alfordacademy.aberdeenshire.sch.uk/,57.23137,-2.71361,48,98,111,105,70,71,99,AB338TY
40,40,AB33 8TY,Primary school,Alford Primary School,http://www.alford-pri.aberdeenshire.sch.uk/,57.231105,-2.713961,,,,,,,,AB338TY
41,41,ML6 9DW,Primary school,All Saints Primary School,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5750,55.858243,-3.980205,,,,,,,,ML69DW
42,42,PA15 3JS,Primary school,All Saints Primary School,http://allsaintsprimary.inverclyde.sch.uk/,55.934589,-4.738193,,,,,,,,PA153JS
43,43,G21 3EN,Highschool,All Saints Secondary School,http://www.allsaints-sec.glasgow.sch.uk,55.886175,-4.20294,317,309,281,242,249,162,137,G213EN
44,44,FK8 1DU,Primary school,Allan's Primary School,https://blogs.glowscotland.org.uk/st/allansprimary/,56.119028,-3.940673,,,,,,,,FK81DU
45,45,ML7 5AB,Primary school,Allanton Primary School,http://www.allanton.n-lanark.sch.uk,55.801488,-3.825152,,,,,,,,ML75AB
