,NAME,ADDR_STREET,ADDR_POSTCODE,PHONE,SPORT,WEBSITE,EMAIL,OPENING_HOURS,normalized_postcode
0,Blairgowrie Community Campus,,,,,,,,NAN
1,Aubigny Sports Centre,Mill Wynd,EH41 4DB,+44 1620 820 650,swimming; dancing; gym; 5-a-side; basketball; badminton; gymnastics; judo; karate,https://www.enjoyleisure.com/Centre.aspx?comp_id=2,aubignysports@enjoyleisure.com,"Mo,We,Fr 07:00-22:00; Tu,Th 09:00-22:00; Sa,Su 09:00-19:00",EH414DB
2,Midlothian Ski Centre (Hillend),,,,skiing,,,,NAN
3,University of St Andrews Sports Centre,,,,,,,,NAN
4,Beacon Centre,Kepplehills Road,AB21 9DG,+44 1224 214488,netball;gymnastics;badminton,https://www.sportaberdeen.co.uk/get-active-beacon,BeaconCentre@sportaberdeen.co.uk,Mo-Fr 09:00-22:00; Sa-Su 09:00-17:00,AB219DG
5,Bucksburn Swimming Pool,Kepplehills Road,AB21 9DG,+44 1224 507757,swimming,https://www.sportaberdeen.co.uk/bucksburn-swimming-pool,BucksburnSwimmingPool@sportaberdeen.co.uk,Mo 06:00-21:45; Tu 06:00-21:00; We 06:00-20:30; Th 06:00-21:45; Fr 06:00-21:00; Sa 07:00-16:30; Su 08:00-19:00,AB219DG
6,Greenock Sports Centre,,,,,,,,NAN
7,Greenock Sports Centre,,,,,,,,NAN
8,Garscube Sports Complex,,,,,https://www.gla.ac.uk/myglasgow/sport/facilities/garscube/,,,NAN
9,Garscube Sports Complex,,,,,https://www.gla.ac.uk/myglasgow/sport/facilities/garscube/,,,NAN
10,UKPaintball Kilmarnock,,,,paintball,,,,NAN
11,UKPaintball Kilmarnock,,,,paintball,,,,NAN
12,UKPaintball Kilmarnock,,,,paintball,,,,NAN
13,Kilwinning Sports Club,,,,soccer,,,,NAN
14,Xcite Bathgate,Torphichen Road,EH48 4LA,,,https://www.westlothianleisure.com/venues/xcite/xcite-bathgate/,,,EH484LA
15,Queensferry Sports & Community Hub,,,,swimming,,,,NAN
16,Meadows Tennis,,,+44 131 443 0101,tennis,https://www.edinburghleisure.co.uk/venues/meadows-tennis/,,,NAN
17,Dowanhill Tennis Club,,,,tennis,,,,NAN
18,Meadowbank Sports Centre,London Road,EH7 6AE,,soccer;athletics,https://www.edinburghleisure.co.uk/venues/meadowbank-sports-centre,,,EH76AE
19,Royal Commonwealth Pool,Dalkeith Road,EH16 5BB,+44 131 667 7211,swimming,https://www.edinburghleisure.co.uk/venues/royal-commonwealth-pool,,Mo-Fr 05:30-22:00; Sa 05:30-20:00; Su 07:30-20:00,EH165BB
20,Ainslie Park,,,,soccer,,,,NAN
21,Jack Kane Sports Centre,Niddrie Mains Road,EH16 4ND,,multi,https://www.edinburghleisure.co.uk/venues/jack-kane-sports-centre,,,EH164ND
22,Glasgow Club Gorbals,,,,multi,,,,NAN
23,Troon Lawn Tennis Club,,,,,,,,NAN
24,Xtreme Karting Edinburgh,,,,karting,https://xtremekarting.co.uk/,,,NAN
25,Whifflet Bowling Club,Bute Street,ML5 4HF,,bowls,,,,ML54HF
26,Coatbridge Outdoor Sports Centre,,,,,,,,NAN
27,Lochfield Bowling Club,,,,bowls,,,,NAN
28,University of Edinburgh Sports Centre,,,,,,,,NAN
29,Strathclyde Park Sports centre,,,,,,,,NAN
30,Burnbank Bowling Club,,,+44 141 564 1359,bowls,https://burnbankbowlingclub.wordpress.com/,,,NAN
31,Gracemount Leisure Centre,,,,swimming;badminton;fitness,https://www.edinburghleisure.co.uk/venues/gracemount-leisure-centre/,,"Mo-Fr 06:30-21:00; Sa,Su 09:00-17:00",NAN
32,Coatbridge Indoor Bowling Centre,Quarry Street,ML5 3PU,,bowls,,,,ML53PU
33,East Sands Leisure Centre,,,,swimming,,,,NAN
34,David Lloyd Clubs,,,,,,,,NAN
35,Sports & Exercise Centre,,,,,,,,NAN
36,Sports Academy,,,,soccer,,,,NAN
37,Firhill Complex,,,,,,,,NAN
38,Tumbles at Portobello Gymnastics and Softplay Centre,,,,,,,,NAN
39,Abercorn Sports Club,,,,,,,,NAN
40,,,,,,,,,NAN
41,Kilsyth Swimming Pool,Airdrie Road,G65 9JE,,swimming,,,,G659JE
42,Portobello Swim Centre,,,,swimming,,,,NAN
43,Edinburgh Sports Club,Belford Place,,,,https://www.edinburghsportsclub.co.uk/,,,NAN
44,Crownpoint Sports Centre,,,,,,,,NAN
45,Galleon Sports Centre,,,,,,,,NAN
46,Edinburgh International Climbing Arena,,,,climbing,,,Mo-Fr 08:00-22:00;Sa-Su 09:00-18:00,NAN
47,,,,,swimming,,,,NAN
48,Meadows Sports Centre,Meadows Way,AB41 9QJ,,,,,,AB419QJ
49,Jock Stein Sports Centre,,,,multi,,,,NAN
50,North Lodge Park,,,,soccer,,,,NAN
51,Glasgow Hutchesons Aloysians(GHA) Rugby Club,,,,,,,,NAN
52,Petershill Park,,,,,,,,NAN
53,Clickimin Leisure Centre,,,,,,,,NAN
54,Scottish Rowing Centre,,,,rowing,,,,NAN
55,John Smith Pool,Stirling Street,ML6 0AH,,swimming,,,,ML60AH
56,Mortonhall Tennis Club,,,,tennis,,,,NAN
57,Glasgow Club Whitehill,,,,swimming,,,,NAN
58,Dean Tennis & Squash Club,,,,tennis;squash,https://thedeanclub.co.uk/,,,NAN
59,Drumbrae Leisure Centre,,,,swimming,https://www.edinburghleisure.co.uk/venues/drumbrae-leisure-centre,,,NAN
60,Craiglockhart Tennis Centre,,,,tennis,https://www.edinburghleisure.co.uk/venues/craiglockhart-leisure-tennis-centre,,,NAN
61,Craiglockhart Tennis Courts,,,,tennis,,,,NAN
62,St Monans seawater swimming pool,,,,swimming,,,,NAN
63,Loch Ness Gun Club,,,,shooting,,,,NAN
64,David Lloyd Clubs,Newhaven Place,EH6 4TX,,,https://www.davidlloyd.co.uk/clubs/edinburgh-newhaven-harbour,,,EH64TX
65,,,,,swimming,,,,NAN
66,Westwoods,,,,,,,,NAN
67,,,,,,,,,NAN
68,Craigswood Sports Centre,,,,,,,,NAN
69,,,,,petanque;tennis,,,,NAN
70,Broughty Castle Bowling Club,,,,bowls,,,,NAN
71,Ainslie Park Leisure Centre,,,,swimming,,,,NAN
72,Grangemouth Sports Complex,Abbots Road,FK3 8JB,,swimming;fitness;cycling;soft_play;badminton;mini_tennis;basketball;darts,http://www.falkirkcommunitytrust.org/venues/grangemouth-sports-complex/,,,FK38JB
73,Midlothian Snowsports Centre,,,,skiing,,,"Mo-Fr 09:30-21:00; Sa,Su 09:30-19:00",NAN
74,Blairgowrie Recreation Centre,,,,,,,,NAN
75,Aquatec Motherwell,Menteith Street,ML1 1AZ,,swimming,,,,ML11AZ
76,Linlithgow Leisure Centre,,,,swimming,,,,NAN
77,Kettilstoun Mains Football Pavilion,,,,,,,,NAN
78,Bell's Sports Centre,Hay Street,PH1 5HS,,,,,,PH15HS
79,Perth Leisure Pool,Glasgow Road,PH2 0HZ,,swimming,,,,PH20HZ
80,Dewar's Rinks,Glover Street,PH2 0TH,,ice_skating; curling,http://www.dewarscentre.co.uk/,,,PH20TH
